"Area","Building","Tourist","Expenditure"
"서울",132475,3949566,2969557681683
"부산",53391,939414,751475641872
"대구",35707,220591,452921134800
"인천",37321,2221779,424113721780
"광주",20742,124916,275868776617
"대전",21767,146783,208442426637
"울산",19377,290750,167226602948
"세종",3849,42918,26939514009
"경기",160465,2752765,2113248828271
"강원",39817,376639,282406119108
"충북",28650,171666,206959242038
"충남",37500,383908,300695435602
"전북",28331,210737,236518096942
"전남",33360,473254,234331272079
"경북",50490,413369,322785644487
"경남",62642,560694,433593524769
"제주",19822,803809,213832988312
